"Color","Count","Locations"
"#7C3AED","5",".\app\(web)\features.tsx:186, .\app\(web)\features.tsx:378, .\app\(web)\features.tsx:401, .\app\(tabs)\pricing.tsx:852, .\app\_backup_pricing\pricing_stripe_backup.tsx:519"
"#8B5CF6","3",".\lib\theme.tsx:79, .\components\StatusBadge.tsx:12, .\app\_backup_pricing\pricing_revenuecat.tsx:156"
"#92400E","2",".\components\community\UpgradePromptModal.tsx:146, .\app\(tabs)\search.tsx:634"
"#93C5FD","2",".\app\(tabs)\search.tsx:709, .\app\(tabs)\search.tsx:777"
"#94A3B8","15",".\components\Button.tsx:125, .\components\Input.tsx:33, .\app\(web)\contact.tsx:385, .\app\(web)\pricing_web.tsx:511, .\components\leads\LeadDetailModal.tsx:410, .\components\leads\LeadDetailModal.tsx:560, .\app\(tabs)\profile.tsx:1036, .\app\(tabs)\pricing.tsx:1669, .\app\(tabs)\pricing.tsx:1692, .\app\(tabs)\leads.tsx:1205, .\app\(tabs)\leads.tsx:1369, .\app\(tabs)\index.tsx:138, .\app\(tabs)\index.tsx:319, .\app\_backup_pricing\pricing_stripe_backup.tsx:1214, .\app\_backup_pricing\pricing_stripe_backup.tsx:1237"
"#991B1B","4",".\components\DeleteAccountModal.tsx:295, .\app\(tabs)\search.tsx:665, .\app\(tabs)\search.tsx:794, .\app\(tabs)\profile.tsx:1198"
"#9CA3AF","16",".\lib\theme.tsx:93, .\lib\theme.tsx:146, .\components\web\WebFooter.tsx:126, .\components\community\CitySearchModal.tsx:361, .\components\community\CommunityFeed.tsx:642, .\components\community\CommunityFeed.web.tsx:645, .\components\community\CommunityFeed_WORKING_BEFORE_FILTERS.tsx:318, .\components\community\PostCard.tsx:727, .\components\community\PostCard.tsx:730, .\components\community\PostCard.tsx:735, .\components\community\PostCard.tsx:1064, .\components\community\PostCard.tsx:1107, .\components\community\CommunityFiltersModal.tsx:121, .\components\community\CommunityFiltersModal.tsx:132, .\components\community\CommunityFiltersModal.tsx:280, .\app\(tabs)\leads.tsx:1299"
"#A78BFA","1",".\lib\theme.tsx:141"
"#A7F3D0","1",".\components\community\PostCard.tsx:1014"
"#BFDBFE","5",".\components\community\PostCard.tsx:1037, .\app\(tabs)\pricing.tsx:1534, .\app\(tabs)\pricing.tsx:1706, .\app\_backup_pricing\pricing_stripe_backup.tsx:1079, .\app\_backup_pricing\pricing_stripe_backup.tsx:1251"
"#CBD5E1","7",".\components\Input.tsx:54, .\app\(tabs)\profile.tsx:1150, .\app\(tabs)\pricing.tsx:1626, .\app\(tabs)\leads.tsx:960, .\app\(tabs)\leads.tsx:978, .\app\(tabs)\leads.tsx:997, .\app\_backup_pricing\pricing_stripe_backup.tsx:1171"
"#CBD5F5","2",".\app\(web)\contact.tsx:437, .\app\(web)\contact.tsx:523"
"#D1D5DB","15",".\lib\theme.tsx:92, .\components\DeleteAccountModal.tsx:311, .\components\community\CitySearchModal.tsx:134, .\components\community\CommunityFeed.tsx:210, .\components\community\CommunityFeed.tsx:218, .\components\community\CommunityFeed.tsx:226, .\components\community\CommunityFeed.tsx:633, .\components\community\CommunityFeed.web.tsx:213, .\components\community\CommunityFeed.web.tsx:221, .\components\community\CommunityFeed.web.tsx:229, .\components\community\CommunityFeed.web.tsx:636, .\components\community\CommunityFeed_WORKING_BEFORE_FILTERS.tsx:95, .\components\community\CommunityFeed_WORKING_BEFORE_FILTERS.tsx:103, .\components\community\PostCard.tsx:933, .\app\(tabs)\leads.tsx:1290"
"#D1FAE5","1",".\app\(tabs)\search.tsx:644"
"#D97706","6",".\components\community\CommunityFeed.tsx:331, .\components\community\CommunityFeed.tsx:334, .\components\community\CommunityFeed.web.tsx:334, .\components\community\CommunityFeed.web.tsx:337, .\app\(tabs)\leads.tsx:791, .\app\(tabs)\leads.tsx:794"
"#DBEAFE","7",".\components\community\PostCard.tsx:1034, .\components\leads\LeadDetailModal.tsx:501, .\components\leads\LeadDetailModal.tsx:651, .\app\(tabs)\search.tsx:704, .\app\(tabs)\search.tsx:772, .\app\(tabs)\index.tsx:265, .\app\(tabs)\index.tsx:293"
